action,category,os,signature,"signature_id",subcategory,status,object,"object_category"
success,"DS Access","Windows Vista, Windows Server 2008","An Active Directory replica destination naming context was modified.",4931,"Detailed Directory Service Replication",,,
success,"DS Access","Windows Vista, Windows Server 2008","Synchronization of a replica of an Active Directory naming context has begun.",4932,"Directory Service Replication",,,
failure,"DS Access","Windows Vista, Windows Server 2008","Synchronization of a replica of an Active Directory naming context has ended.",4933,"Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Attributes of an Active Directory object were replicated.",4934,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Replication failure begins.",4935,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","Replication failure ends.",4936,"Detailed Directory Service Replication",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","A lingering object was removed from a replica.",4937,"Detailed Directory Service Replication",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following policy was active when the Windows Firewall started.",4944,"MPSSVC Rule-Level Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A rule was listed when the Windows Firewall started.",4945,"MPSSVC Rule-Level Policy Change",,,
created,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was added.",4946,"MPSSVC Rule-Level Policy Change",success,Windows Firewall Policy,rule
modified,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was modified.",4947,"MPSSVC Rule-Level Policy Change",success,Windows Firewall Policy,rule
deleted,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to Windows Firewall exception list. A rule was deleted.",4948,"MPSSVC Rule-Level Policy Change",success,Windows Firwall Policy,rule
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall settings were restored to the default values.",4949,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A Windows Firewall setting has changed.",4950,"MPSSVC Rule-Level Policy Change",,,
failure,"Policy Change","Windows Vista, Windows Server 2008","A rule has been ignored because its major version number was not recognized by Windows Firewall.",4951,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced.",4952,"MPSSVC Rule-Level Policy Change",,,
failure,"Policy Change","Windows Vista, Windows Server 2008","A rule has been ignored by Windows Firewall because it could not parse the rule.",4953,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall Group Policy settings have changed. The new settings have been applied.",4954,"MPSSVC Rule-Level Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall has changed the active profile.",4956,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall did not apply the following rule:",4957,"MPSSVC Rule-Level Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer:",4958,"MPSSVC Rule-Level Policy Change",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed an integrity check. If this problem persists, it could indicate a network issue or that packets are being modified in transit to this computer. Verify that the packets sent from the remote computer are the same as those received by this computer. This error might also indicate interoperability problems with other IPsec implementations.",4960,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed a replay check. If this problem persists, it could indicate a replay attack against this computer.",4961,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound packet that failed a replay check. The inbound packet had too low a sequence number to ensure it was not a replay.",4962,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec dropped an inbound clear text packet that should have been secured. This is usually due to the remote computer changing its IPsec policy without informing this computer. This could also be a spoofing attack attempt.",4963,"IPsec Driver",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","Special groups have been assigned to a new logon.",4964,"Special Logon",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI). This is usually caused by malfunctioning hardware that is corrupting packets. If these errors persist, verify that the packets sent from the remote computer are the same as those received by this computer. This error may also indicate interoperability problems with other IPsec implementations. In that case, if connectivity is not impeded, then these events can be ignored.",4965,"IPsec Driver",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","During Main Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",4976,"IPsec Main Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","During Quick Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",4977,"IPsec Quick Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","During Extended Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",4978,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","IPsec Main Mode and Extended Mode security associations were established.",4979,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","IPsec Main Mode and Extended Mode security associations were established.",4980,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","IPsec Main Mode and Extended Mode security associations were established.",4981,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","IPsec Main Mode and Extended Mode security associations were established.",4982,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.",4983,"IPsec Extended Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.",4984,"IPsec Extended Mode",,,
success,"Object Access","Windows Vista, Windows Server 2008","The state of a transaction has changed.",4985,"File System",,,
success,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service has started successfully.",5024,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service has been stopped.",5025,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.",5027,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.",5028,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service failed to initialize the driver. The service will continue to enforce the current policy.",5029,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Service failed to start.",5030,"Other System Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The Windows Firewall Service blocked an application from accepting incoming connections on the network.",5031,"Filtering Platform Connection",,,
unknown,System,"Windows Vista, Windows Server 2008","Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.",5032,"Other System Events",,,
success,System,"Windows Vista, Windows Server 2008","The Windows Firewall Driver has started successfully.",5033,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Driver has been stopped.",5034,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Driver failed to start.",5035,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","The Windows Firewall Driver detected critical runtime error. Terminating.",5037,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","Code integrity determined that the image hash of a file is not valid. The file could be corrupt due to unauthorized modification or the invalid hash could indicate a potential disk device error.",5038,"System Integrity",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A registry key was virtualized.",5039,Registry,,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. An Authentication Set was added.",5040,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. An Authentication Set was modified.",5041,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. An Authentication Set was deleted.",5042,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Connection Security Rule was added.",5043,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Connection Security Rule was modified.",5044,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Connection Security Rule was deleted.",5045,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Crypto Set was added.",5046,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Crypto Set was modified.",5047,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A change has been made to IPsec settings. A Crypto Set was deleted.",5048,"Filtering Platform Policy Change",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Security Association was deleted.",5049,"IPsec Main Mode",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A file was virtualized.",5051,"File System",,,
success,System,"Windows Vista, Windows Server 2008","A cryptographic self test was performed.",5056,"System Integrity",,,
unknown,System,"Windows Vista, Windows Server 2008","A cryptographic primitive operation failed.",5057,"System Integrity",,,
success,System,"Windows Vista, Windows Server 2008","Key file operation.",5058,"Other System Events",,,
success,System,"Windows Vista, Windows Server 2008","Key migration operation.",5059,"Other System Events",,,
unknown,System,"Windows Vista, Windows Server 2008","Verification operation failed.",5060,"System Integrity",,,
failure,System,"Windows Vista, Windows Server 2008","Cryptographic operation.",5061,"System Integrity",,,
unknown,System,"Windows Vista, Windows Server 2008","A kernel-mode cryptographic self test was performed.",5062,"System Integrity",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic provider operation was attempted.",5063,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic context operation was attempted.",5064,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic context modification was attempted.",5065,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic function operation was attempted.",5066,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic function modification was attempted.",5067,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic function provider operation was attempted.",5068,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic function property operation was attempted.",5069,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","A cryptographic function property modification was attempted.",5070,"Other Policy Change Events",,,
success,"DS Access","Windows Vista, Windows Server 2008","A directory service object was modified.",5136,"Directory Service Changes",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","A directory service object was created.",5137,"Directory Service Changes",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","A directory service object was undeleted.",5138,"Directory Service Changes",,,
unknown,"DS Access","Windows Vista, Windows Server 2008","A directory service object was moved.",5139,"Directory Service Changes",,,
failure,"Object Access","Windows Vista, Windows Server 2008","A network share object was accessed.",5140,"File Share",,,
unknown,"DS Access","Windows Vista SP1, Windows Server 2008","A directory service object was deleted.",5141,"Directory Service Changes",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","A network share object was added.",5142,"File Share",,,
success,"Object Access","Windows 7, Windows Server 2008 R2","A network share object was modified.",5143,"File Share",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","A network share object was deleted.",5144,"File Share",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","A network share object was checked to see whether the client can be granted desired access.",5145,"Detailed File Share",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","The Windows Filtering Platform has detected a DoS attack and entered a defensive mode; packets associated with this attack will be discarded.",5148,"Other Object Access Events",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","The DoS attack has subsided and normal processing is being resumed.",5149,"Other Object Access Events",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","The Windows Filtering Platform has blocked a packet.",5150,"Filtering Platform Connection",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","A more restrictive Windows Filtering Platform filter has blocked a packet.",5151,"Filtering Platform Connection",,,
failure,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform blocked a packet.",5152,"Filtering Platform Packet Drop",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","A more restrictive Windows Filtering Platform filter has blocked a packet.",5153,"Filtering Platform Packet Drop",,,
success,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.",5154,"Filtering Platform Connection",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.",5155,"Filtering Platform Connection",,,
success,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has allowed a connection.",5156,"Filtering Platform Connection",,,
failure,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has blocked a connection.",5157,"Filtering Platform Connection",,,
success,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has permitted a bind to a local port.",5158,"Filtering Platform Connection",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","The Windows Filtering Platform has blocked a bind to a local port.",5159,"Filtering Platform Connection",,,
unknown,"Object Access","Windows 7, Windows Server 2008 R2","Spn check for SMB/SMB2 failed.",5168,"File Share",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","Credential Manager credentials were backed up.",5376,"User Account Management",,,
unknown,"Account Management","Windows Vista, Windows Server 2008","Credential Manager credentials were restored from a backup.",5377,"User Account Management",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","The requested credentials delegation was disallowed by policy.",5378,"Other Logon/Logoff Events",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following callout was present when the Windows Filtering Platform Base Filtering Engine started.",5440,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following filter was present when the Windows Filtering Platform Base Filtering Engine started.",5441,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following provider was present when the Windows Filtering Platform Base Filtering Engine started.",5442,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","The following provider context was present when the Windows Filtering Platform Base Filtering Engine started.",5443,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.",5444,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A Windows Filtering Platform callout has been changed.",5446,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A Windows Filtering Platform filter has been changed.",5447,"Other Policy Change Events",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A Windows Filtering Platform provider has been changed.",5448,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A Windows Filtering Platform provider context has been changed.",5449,"Filtering Platform Policy Change",,,
success,"Policy Change","Windows Vista, Windows Server 2008","A Windows Filtering Platform sub-layer has been changed.",5450,"Filtering Platform Policy Change",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Quick Mode security association was established.",5451,"IPsec Quick Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Quick Mode security association ended.",5452,"IPsec Quick Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started.",5453,"IPsec Main Mode",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine applied Active Directory storage IPsec policy on the computer.",5456,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.",5457,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.",5458,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.",5459,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine applied local registry storage IPsec policy on the computer.",5460,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to apply local registry storage IPsec policy on the computer.",5461,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to apply some rules of the active IPsec policy on the computer. Use the IP Security Monitor snap-in to diagnose the problem.",5462,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine polled for changes to the active IPsec policy and detected no changes.",5463,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine polled for changes to the active IPsec policy, detected changes, and applied them to IPsec Services.",5464,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully.",5465,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory cannot be reached, and will use the cached copy of the Active Directory IPsec policy instead. Any changes made to the Active Directory IPsec policy since the last poll could not be applied.",5466,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, and found no changes to the policy. The cached copy of the Active Directory IPsec policy is no longer being used.",5467,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, found changes to the policy, and applied those changes. The cached copy of the Active Directory IPsec policy is no longer being used.",5468,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine loaded local storage IPsec policy on the computer.",5471,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to load local storage IPsec policy on the computer.",5472,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine loaded directory storage IPsec policy on the computer.",5473,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to load directory storage IPsec policy on the computer.",5474,"Filtering Platform Policy Change",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","PAStore Engine failed to add quick mode filter.",5477,"Filtering Platform Policy Change",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services has started successfully.",5478,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services has been shut down successfully. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.",5479,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services failed to get the complete list of network interfaces on the computer. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.",5480,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services failed to initialize RPC server. IPsec Services could not be started.",5483,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services has experienced a critical failure and has been shut down. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.",5484,"IPsec Driver",,,
unknown,System,"Windows Vista, Windows Server 2008","IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.",5485,"IPsec Driver",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","A request was made to authenticate to a wireless network.",5632,"Other Logon/Logoff Events",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","A request was made to authenticate to a wired network.",5633,"Other Logon/Logoff Events",,,
unknown,"Detailed Tracking","Windows Vista, Windows Server 2008","A Remote Procedure Call (RPC) was attempted.",5712,"RPC Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An object in the COM+ Catalog was modified.",5888,"Other Object Access Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An object was deleted from the COM+ Catalog.",5889,"Other Object Access Events",,,
unknown,"Object Access","Windows Vista, Windows Server 2008","An object was added to the COM+ Catalog.",5890,"Other Object Access Events",,,
success,"Policy Change","Windows Vista, Windows Server 2008","Security policy in the group policy objects has been applied successfully.",6144,"Other Policy Change Events",,,
unknown,"Policy Change","Windows Vista, Windows Server 2008","One or more errors occurred while processing security policy in the group policy objects.",6145,"Other Policy Change Events",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server granted access to a user.",6272,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server denied access to a user.",6273,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server discarded the request for a user.",6274,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server discarded the accounting request for a user.",6275,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server quarantined a user.",6276,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy.",6277,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server granted full access to a user because the host met the defined health policy.",6278,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server locked the user account due to repeated failed authentication attempts.",6279,"Network Policy Server",,,
unknown,"Logon/Logoff","Windows Vista SP1, Windows Server 2008","Network Policy Server unlocked the user account.",6280,"Network Policy Server",,,
unknown,System,"Windows 7, Windows Server 2008 R2","Code Integrity determined that the page hashes of an image file are not valid. The file could be improperly signed without page hashes or corrupt due to unauthorized modification. The invalid hashes could indicate a potential disk device error",6281,"System Integrity",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: Received an incorrectly formatted response while discovering availability of content.",6400,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: Received invalid data from a peer. Data discarded.",6401,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: The message to the hosted cache offering it data is incorrectly formatted.",6402,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: The hosted cache sent an incorrectly formatted response to the client.",6403,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate.",6404,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","BranchCache: %2 instance(s) of event id %1 occurred.",6405,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","%1 registered to Windows Firewall to control filtering for the following: %2",6406,"Other System Events",,,
unknown,System,"Windows 7, Windows Server 2008 R2","1%",6407,"Other System Events",,,
